metric,comparison,n_pairs,mean_diff,p_raw,p_holm,ci95_low,ci95_high,ci_excludes_zero,status
faithfulness,baseline vs reranker,281,0.0401711574309439,0.0266481075237508,0.0799443225712524,0.006879130655821,0.0735068208778172,True,suggestive
faithfulness,reranker vs agentic,281,0.0013924193639496,0.7073490771837861,0.7073490771837861,-0.0356359091679376,0.0378668869683104,False,n.s.
faithfulness,baseline vs agentic,281,0.0391317855730667,0.048788435361105,0.09757687072221,-0.0002308930689713,0.0794781251765237,False,suggestive
answer_relevancy,baseline vs reranker,295,0.0064184443699689,0.8741694477110882,1.0,-0.015845135061923,0.0297037848592932,False,n.s.
answer_relevancy,reranker vs agentic,293,0.0141425142319949,0.3245713865414845,0.9737141596244534,-0.0176653778951224,0.045952064264423,False,n.s.
answer_relevancy,baseline vs agentic,295,0.0161240517526386,0.6775126837053445,1.0,-0.017534703740577,0.0507196078439503,False,n.s.
context_precision,baseline vs reranker,299,0.0233251522440075,0.0132851216509633,0.0143560688153974,-0.0012316783458429,0.0480785265847034,False,suggestive
context_precision,reranker vs agentic,299,0.0202475987582865,0.0071780344076987,0.0143560688153974,0.0063070837017609,0.0357365959995145,True,robust
context_precision,baseline vs agentic,299,0.043572751002294,0.000463838469598,0.001391515408794,0.014514248764914,0.0733833673599568,True,robust
