metric,comparison,n_pairs,mean_diff,p_raw,p_holm,ci95_low,ci95_high,ci_excludes_zero,status
faithfulness,baseline vs reranker,140,0.0667176870748299,0.0073775960335124,0.022132788100537197,0.0211203231292517,0.1140310374149659,True,robust
faithfulness,reranker vs agentic,139,0.001632979330821,0.8415870329378659,0.8415870329378659,-0.0536772010962658,0.0559229759049902,False,n.s.
faithfulness,baseline vs agentic,139,0.0645141030033116,0.0163593447337231,0.0327186894674462,0.0079420749114993,0.1193630809638003,True,robust
answer_relevancy,baseline vs reranker,148,0.0025604874741779,0.767025980051254,1.0,-0.028812462483247,0.0344663789496431,False,n.s.
answer_relevancy,reranker vs agentic,147,-0.0036530307962213,0.7322277465751859,1.0,-0.0503842915893739,0.0427897842166236,False,n.s.
answer_relevancy,baseline vs agentic,147,-0.0010751250399061,0.7571295685865607,1.0,-0.0503177686646216,0.0493152989278024,False,n.s.
context_precision,baseline vs reranker,150,0.0367307823104433,0.017553769939582,0.052661309818746,-0.0012751695938134,0.0742297916595244,False,suggestive
context_precision,reranker vs agentic,150,-0.0093965986396209,0.1958395105292101,0.1958395105292101,-0.0223205054791098,0.0017871286833722,False,n.s.
context_precision,baseline vs agentic,150,0.0273341836708224,0.0490401205320605,0.098080241064121,-0.0130784254521807,0.0662534589889558,False,suggestive
