metric,comparison,n_pairs,mean_diff,wilcoxon_p,ci95_low,ci95_high,significant
faithfulness,baseline vs reranker,140,0.06671768707482993,0.007377596033512404,0.021120323129251703,0.11403103741496598,True
faithfulness,reranker vs agentic,137,-0.022610358011817863,0.5247727826512794,-0.0761699107866991,0.029214749160004636,False
faithfulness,baseline vs agentic,138,0.03509316770186336,0.16682707008160158,-0.01883727283183805,0.08749180469289164,False
answer_relevancy,baseline vs reranker,148,0.002560487474177943,0.767025980051254,-0.02881246248324705,0.034466378949643155,False
answer_relevancy,reranker vs agentic,147,-0.06049500269681001,0.028074712708542726,-0.10706777187051285,-0.015412940860941316,True
answer_relevancy,baseline vs agentic,147,-0.058653168307869055,0.015130442465000891,-0.10524787214608543,-0.013395449035310533,True
context_precision,baseline vs reranker,150,0.03673078231044331,0.017553769939582017,-0.0012751695938134073,0.07422979165952441,True
context_precision,reranker vs agentic,150,-0.0123225245647456,0.28107237422590337,-0.030953900223547874,0.0018103892661167158,False
context_precision,baseline vs agentic,150,0.02440825774569771,0.04501262034777589,-0.01809213435168543,0.06467382132776762,True
