set,comparison,n_pairs,mean_diff,wilcoxon_p,holm_p,ci95_low,ci95_high,ci_excludes_zero,status
combined_A+B,baseline vs reranker,100,0.019976190476190477,0.5916918858812411,1.0,-0.05319047619047619,0.09016964285714282,False,n.s.
combined_A+B,reranker vs agentic,100,-0.02614285047619048,0.5577783467588059,1.0,-0.12028630285714287,0.06890178904761875,False,n.s.
combined_A+B,baseline vs agentic,100,-0.006166660000000006,0.9915488427872102,1.0,-0.10366666341666665,0.08716666691666666,False,n.s.
methodA_only,baseline vs reranker,98,0.02293488824101069,0.5176882775747431,1.0,-0.051072643343051505,0.09487366375121477,False,n.s.
methodA_only,reranker vs agentic,96,-0.02896825396825398,0.5261706763782479,1.0,-0.1289701140873016,0.07123759920634909,False,n.s.
methodA_only,baseline vs agentic,95,-0.015263157894736845,0.892603253535341,1.0,-0.11439035087719297,0.08281140350877186,False,n.s.
